feature,importance
fe_group_last_key_ID_B_8,0.00016753293220139742
fe_group_max_key_ID_D_65,0.00016568790082704954
fe_group_mean_key_ID_R_2,0.00016557934947225572
fe_group_min_key_ID_D_62,0.0001628507009986957
fe_recentDiff_interval_2_S_23,0.00016225789548990344
fe_group_mean_key_ID_R_5,0.00015580814755572492
fe_group_last_key_ID_B_30,0.0001550359600986928
fe_group_mean_key_ID_D_79,0.00015410704699453381
fe_group_last_key_ID_S_7,0.00015388803060456535
fe_tar_enc_smoothing_fe_group_min_key_ID_R_26,0.00015222878906279158
fe_group_min_key_ID_S_25,0.00015040563743040636
fe_tar_enc_smoothing_fe_group_last_key_ID_R_2,0.00014936809026933062
fe_group_max_key_ID_D_45,0.0001487951970131074
fe_group_mean_key_ID_D_77,0.00014423763786591826
fe_group_max_key_ID_S_23,0.00014387229553824987
fe_tar_enc_smoothing_fe_group_max_key_ID_D_70,0.00014049650166636507
fe_recentDiff_interval_2_D_41,0.0001397849188990441
fe_group_max_key_ID_B_9,0.00013976001867044285
fe_rollingMean_window_6_D_48,0.00013963120973231602
fe_tar_enc_smoothing_fe_group_min_key_ID_D_51,0.000138885644415776
fe_group_mean_key_ID_B_22,0.0001375923153073555
fe_freq_enc_fe_group_max_key_ID_D_129,0.00013640656944241547
fe_group_last_key_ID_B_17,0.00013619595399022577
fe_rollingMean_window_6_D_39,0.00013508752190344309
fe_group_last_key_ID_D_47,0.00013485036374111248
fe_group_max_key_ID_B_4,0.00013372172491926682
fe_group_last_key_ID_S_3,0.00013347896546245241
fe_rollingMean_window_6_B_6,0.00013281066277781584
fe_rollingMean_window_6_D_61,0.00013239059035174972
fe_group_last_key_ID_B_6,0.00013078420487938613
fe_tar_enc_smoothing_fe_group_last_key_ID_R_4,0.00012877002673034044
fe_rollingMean_window_6_B_33,0.0001277097382816339
fe_freq_enc_fe_group_last_key_ID_B_33,0.00012606148997285072
fe_group_max_key_ID_B_23,0.00012578993363648872
fe_rollingMean_window_6_S_7,0.00012546989811884623
fe_group_mean_key_ID_B_1,0.0001249658849177826
fe_tar_enc_smoothing_fe_group_max_key_ID_D_65,0.00012381873381284159
fe_group_last_key_ID_B_10,0.00012332016212335262
fe_recentDiff_interval_1_D_65,0.00012228147459969474
fe_recentDiff_interval_2_B_3,0.00012218284989146122
fe_recentDiff_interval_1_D_41,0.00012186234369659932
fe_rollingMean_window_6_S_3,0.00011978889654440383
fe_freq_enc_fe_group_max_key_ID_D_106,0.0001188421421864927
fe_tar_enc_smoothing_fe_group_max_key_ID_S_15,0.00011874871767159068
fe_kmeans_distance_from_cluster_5,0.00011798452879324683
fe_recentDiff_interval_2_P_2,0.00011791729507215631
fe_group_mean_key_ID_R_6,0.00011746115458488582
fe_group_min_key_ID_D_128,0.00011682664742274085
fe_group_last_key_ID_B_33,0.00011562105163809289
fe_group_mean_key_ID_R_26,0.00011453665849581185
fe_group_max_key_ID_D_51,0.00011389442543452422
fe_group_max_key_ID_S_22,0.0001126880455085133
fe_group_max_key_ID_B_17,0.00011215740727699153
fe_group_mean_key_ID_B_2,0.00011133797198376039
fe_rollingMean_window_6_B_18,0.00011111758300885732
fe_group_last_key_ID_S_22,0.00010953013887587959
fe_rollingMean_window_6_D_43,0.00010849606272245182
fe_recentDiff_interval_2_D_65,0.00010848334239543789
fe_group_min_key_ID_D_56,0.00010840586079291503
fe_group_last_key_ID_D_49,0.00010724582451526743
fe_tar_enc_smoothing_fe_group_last_key_ID_R_26,0.0001068750805371943
fe_group_last_key_ID_S_8,0.00010677586614399326
fe_group_max_key_ID_D_70,0.00010638181219102538
fe_rollingMean_window_6_B_37,0.00010590062553961221
fe_recentDiff_interval_2_B_7,0.0001058353152258995
fe_group_mean_key_ID_B_4,0.00010373966075905017
fe_group_mean_key_ID_B_37,0.00010326122157316986
fe_group_mean_key_ID_D_84,0.00010292129970695951
fe_group_mean_key_ID_R_8,0.0001022160698949115
fe_group_last_key_ID_D_52,9.917573865808604e-05
fe_kmeans_distance_from_cluster_0,9.91067856531691e-05
fe_group_last_key_ID_B_16,9.876032147082547e-05
fe_group_max_key_ID_D_77,9.832149971356063e-05
fe_group_last_key_ID_B_40,9.704688141798368e-05
fe_group_mean_key_ID_B_11,9.64241025884216e-05
fe_group_mean_key_ID_B_40,9.57494227614708e-05
fe_group_max_key_ID_D_132,9.42581615892557e-05
fe_group_mean_key_ID_D_106,9.268792451733177e-05
fe_group_mean_key_ID_D_50,9.151290556491665e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_R_5,9.136800602677075e-05
fe_group_mean_key_ID_D_48,9.13094592790431e-05
fe_group_last_key_ID_R_2,9.066554512476843e-05
fe_group_min_key_ID_B_9,8.964205001871228e-05
fe_group_max_key_ID_B_8,8.913414928507502e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_B_22,8.885115313933545e-05
fe_tar_enc_smoothing_fe_group_min_key_ID_B_33,8.862334559495144e-05
fe_freq_enc_fe_group_last_key_ID_R_26,8.772544671092897e-05
fe_group_last_key_ID_D_75,8.752137629325363e-05
fe_freq_enc_fe_group_last_key_ID_D_44,8.708800191564725e-05
fe_freq_enc_fe_group_max_key_ID_B_4,8.627287771639791e-05
fe_group_max_key_ID_R_26,8.60853524035643e-05
fe_freq_enc_fe_group_last_key_ID_B_20,8.583456198679729e-05
fe_group_min_key_ID_B_20,8.548670936753267e-05
fe_group_min_key_ID_B_2,8.420205200337927e-05
fe_rollingMean_window_6_D_49,8.398661878589175e-05
fe_rollingMean_window_6_P_3,8.311429269020065e-05
fe_group_mean_key_ID_D_78,8.246512065657186e-05
fe_group_mean_key_ID_B_3,8.178991887075604e-05
fe_group_max_key_ID_D_55,8.141296210678606e-05
fe_group_min_key_ID_B_10,8.120066687467009e-05
fe_group_mean_key_ID_D_70,8.030270673298201e-05
fe_group_max_key_ID_P_4,8.01890293938845e-05
fe_tar_enc_smoothing_fe_group_max_key_ID_D_129,8.01318200346346e-05
fe_group_last_key_ID_D_45,8.00824102675235e-05
fe_group_last_key_ID_D_54,7.953221865253379e-05
fe_group_last_key_ID_R_4,7.952269349614793e-05
fe_freq_enc_fe_group_max_key_ID_D_75,7.909052446142262e-05
fe_group_min_key_ID_D_48,7.895153079628958e-05
fe_tar_enc_smoothing_fe_group_last_key_ID_D_106,7.838673230442517e-05
fe_group_last_key_ID_D_55,7.826385911818834e-05
